Item,lockerName,deploymentDate,buildingType,zh_HK.region,zh_HK.district,zh_hk.street,zh_HK.streetNumber,zh_HK.building,zh_HK.floor,zh_HK.description,en.description,en.floor,en.building,en.streetNumber,en.street,en.district,en.region,clubhouse,nickname,kiosk,boxes,availability,accessible,certificateId:,csNumber,
40,TheParcville,"January 21, 2017",住宅,新界,元朗,元朗舊墟路,33號,采葉庭,平台,"平台, 汽水機側","Next to vending machine, Podium",Podium,The Parcville,33,Yuen Long Kau Hui Road,Yuen Long,New Territories,Y,,R,36,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
41,KingstonTerrace,"January 21, 2017",住宅,新界,屯門,景新徑,2號,景新臺,平台,"平台, 順豐側","Next to EF-Express, Podium",Podium,Kingston Terrace,2,King San Path,Tuen Mun,New Territories,,Kinsey,R,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
42,KowloonCityFerryPier,"January 23, 2017",交通樞紐,九龍,九龍城,,,九龍城碼頭,門口,碼頭出入口,Ferry Pier Entrance,Gate,Kowloon City Ferry Pier,,,Kowloon City,Kowloon,N,Kerry,L,18,0700-0700,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
43,HarbourPlace,"January 23, 2017",住宅,九龍,紅磡,愛景街,8號,海濱南岸,平台,N1&N2升降機旁屋苑旁,Next to the house closed to LiftN1&N2,Podium,Harbour Place,8,Oi King Street,Hung Hom,Kowloon,Y,Haven,R,,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
44,YeeFungGarden,"January 23, 2017",住宅,新界,元朗,馬田路,38號,怡豐花園,平台,地下商場千之壽旁,Next to Yuen Long Sushi Restaurant in underground centre,Podium,Yee Fung Garden,38,Ma Tin Road,Yuen Long,New Territories,,Eva,L,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
45,GrandDelSol,"January 23, 2017",住宅,新界,元朗,鳳翔路,100號,朗晴居,平台,"10座, 會所旁","Block 10, Next to Club House",Podium,Grand Del Sol,100,Fung Cheung Road,Yuen Long,New Territories,Y,Ranch,L,,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
46,TakTinEstate,"January 24, 2017",住宅,九龍,藍田,碧雲道,223號,德田邨,,德田廣場1樓商場平台(近停車場升降機側),"Shopping centre on Tak Tin Plaza 1/F, Next to the Lift in Car Park",,Tak Tin Estate,223,Pik Wan Road,Lam Tin,Kowloon,,Duck,L,36,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
47,Mikiki,"January 24, 2017",商場,新界,新蒲崗,太子道東,638,MIKIKI,,商場B2,Shopping Centre B2,,MIKIKI,638,Prince Edward Road East,San Po Gong,New Territories,N,Mikiki,M,72,,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
48,KwaiSingCentre,"January 25, 2017",工商大廈,新界,葵涌,青山公路葵涌段,412-416號,葵星中心B座,平台,商場G/F 日本城旁 ,"Shopping Centre G/F, Next to Janpan City",Podium,"Kwai Sing Centre, Block B",412-416,Castle Peak Road- Kwai Chung,Kwai Chung,New Territories,,Queenie,L,18,,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
49,MayfairGardens,"January 25, 2017",住宅,新界,青衣,細山路,2-16號,美景花園,平台,"往車場中央樓梯旁
（第7座對出、大快活側）","Next to the central stairs to Car Park, Opposite Block 7, Next to Fairwood",Podium,Mayfair Gardens,2- 16,Sai Shan Road,Tsing Yi,New Territories,N,May,L,36,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
50,711-0742,"February 10, 2017",便利店,九龍,觀塘,駿業里 ,10 號,業運工業大廈,地下 ,A 舖位，7-11便利店,"7-Eleven, Shop A",G/F,Yip Win Factory Building,10,Tsun Yip Lane,Kwun Tong,Kowloon,,Evelyn,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
51,711-0132,"February 10, 2017",便利店,九龍,旺角,豉油街 ,60-104B號,鴻都大廈商場,地下 ,16 號舖，7-11便利店,"7-Eleven, Shop 16",G/F,"Concord Building, Shopping Arcade",60- 104B,Soy Street,Mong Kok,Kowloon,,Honda,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
52,TinChakShoppingCentre,"February 15, 2017",商場,新界,天水圍,天瑞路,,天澤邨天澤商場,1樓,商場1樓,Shopping Centre 1/F,,"Tin Chak Shopping Centre, Tin Chak Estate",,Tin Shui Road,Tin Shui Wai,New Territories,,Tina,,,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
53,KamTai ShoppingCentre,"February 15, 2017",商場,新界,馬鞍山,寧泰路,33號,錦泰苑商場,1樓,商場1樓,Shopping Centre 1/F,1/F,"Kam Tai Court, Shopping Arcade",33,Ning Tai Road,Ma On Shan,New Territories,,Ken,,,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
54,SheungTakPlaza,"February 15, 2017",商場,新界,將軍澳,唐明街,2號,尚德廣場,2樓,商場2樓,Shopping Centre 2/F,2/F,Sheung Tak Plaza,2,Tong Ming Street,Tseung Kwan O,New Territories,,Shandy,,,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
55,711-0016,"February 27, 2017",便利店,九龍,紅磡,民泰街 ,2-32A號,黃埔新邨黃埔新邨F及G座商場 ,地下 ,B2A-B2B，7-11便利店,"7-Eleven, B2A-B2B",G/F,"Whampoa Estate, Whampoa Estate Shopping Arcade - Block F & G ",2-32A,Man Tai Street,Hung Hom,Kowloon,,David,,13,,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
